gpu,kind,layout,task_index,target_object,passed,reasons
4,S,Sx_11_34,11,,True,
4,S,Sx_11_44,11,,True,
4,S,Sx_16_22,16,,True,
4,S,Sx_16_26,16,,True,
4,S,Sx_16_34,16,,True,
4,S,Sx_16_44,16,,True,
4,S,Sx_21_22,21,,True,
4,S,Sx_21_26,21,,True,
4,S,Sx_21_34,21,,True,
4,S,Sx_21_44,21,,True,
4,S,Sx_26_22,26,,True,
4,S,Sx_26_26,26,,True,
4,S,Sx_26_34,26,,True,
4,S,Sx_26_44,26,,True,
4,S,Sx_31_22,31,,True,
4,S,Sx_31_26,31,,True,
4,S,Sx_31_34,31,,True,
4,S,Sx_31_44,31,,True,
4,S,Sx_36_22,36,,True,
4,S,Sx_36_26,36,,True,
4,S,Sx_36_34,36,,True,
4,S,Sx_36_44,36,,True,
5,H,Hx_02_22,26,milk_1,True,
5,H,Hx_02_26,26,milk_1,True,
5,H,Hx_02_34,26,milk_1,True,
5,H,Hx_02_44,26,milk_1,True,
5,P,Px_02_22,26,milk_1,False,target_not_deeply_penetrating
5,P,Px_02_26,26,milk_1,False,target_not_deeply_penetrating
5,P,Px_02_34,26,milk_1,False,target_not_deeply_penetrating
5,P,Px_02_44,26,milk_1,False,target_not_deeply_penetrating
5,S,Sx_02_22,2,,True,
5,S,Sx_02_26,2,,True,
5,S,Sx_02_34,2,,True,
5,S,Sx_02_44,2,,True,
5,S,Sx_07_22,7,,True,
5,S,Sx_07_26,7,,True,
5,S,Sx_07_34,7,,True,
5,S,Sx_07_44,7,,True,
5,S,Sx_12_22,12,,True,
5,S,Sx_12_26,12,,True,
5,S,Sx_12_34,12,,True,
5,S,Sx_12_44,12,,True,
5,S,Sx_17_22,17,,True,
5,S,Sx_17_26,17,,True,
5,S,Sx_17_34,17,,True,
5,S,Sx_17_44,17,,True,
5,S,Sx_22_22,22,,True,
5,S,Sx_22_26,22,,True,
5,S,Sx_22_34,22,,True,
5,S,Sx_22_44,22,,True,
5,S,Sx_27_22,27,,True,
5,S,Sx_27_26,27,,True,
5,S,Sx_27_34,27,,True,
5,S,Sx_27_44,27,,True,
5,S,Sx_32_22,32,,True,
5,S,Sx_32_26,32,,True,
5,S,Sx_32_34,32,,True,
5,S,Sx_32_44,32,,True,
5,S,Sx_37_22,37,,True,
5,S,Sx_37_26,37,,True,
5,S,Sx_37_34,37,,True,
5,S,Sx_37_44,37,,True,
6,H,Hx_03_22,27,orange_juice_1,True,
6,H,Hx_03_26,27,orange_juice_1,True,
6,H,Hx_03_34,27,orange_juice_1,False,non_target_physics_equal
6,H,Hx_03_44,27,orange_juice_1,True,
6,P,Px_03_22,27,orange_juice_1,False,target_not_deeply_penetrating
6,P,Px_03_26,27,orange_juice_1,False,target_not_deeply_penetrating
6,P,Px_03_34,27,orange_juice_1,False,target_not_deeply_penetrating
6,P,Px_03_44,27,orange_juice_1,False,target_not_deeply_penetrating
6,S,Sx_03_22,3,,True,
6,S,Sx_03_26,3,,True,
6,S,Sx_03_34,3,,True,
6,S,Sx_03_44,3,,True,
6,S,Sx_08_22,8,,True,
6,S,Sx_08_26,8,,True,
6,S,Sx_08_34,8,,True,
6,S,Sx_08_44,8,,True,
6,S,Sx_13_22,13,,True,
6,S,Sx_13_26,13,,True,
6,S,Sx_13_34,13,,True,
6,S,Sx_13_44,13,,True,
6,S,Sx_18_22,18,,True,
6,S,Sx_18_26,18,,True,
6,S,Sx_18_34,18,,True,
6,S,Sx_18_44,18,,True,
6,S,Sx_23_22,23,,True,
6,S,Sx_23_26,23,,True,
6,S,Sx_23_34,23,,True,
6,S,Sx_23_44,23,,True,
6,S,Sx_28_22,28,,True,
6,S,Sx_28_26,28,,True,
6,S,Sx_28_34,28,,True,
6,S,Sx_28_44,28,,True,
6,S,Sx_33_22,33,,True,
6,S,Sx_33_26,33,,True,
6,S,Sx_33_34,33,,True,
6,S,Sx_33_44,33,,True,
6,S,Sx_38_22,38,,True,
6,S,Sx_38_26,38,,True,
6,S,Sx_38_34,38,,True,
6,S,Sx_38_44,38,,True,
7,H,Hx_04_22,24,cream_cheese_1,False,non_target_physics_equal; target_drift_within_one_cm
7,H,Hx_04_26,24,cream_cheese_1,False,non_target_physics_equal; target_drift_within_one_cm
7,H,Hx_04_34,24,cream_cheese_1,False,non_target_physics_equal
7,H,Hx_04_44,24,cream_cheese_1,False,non_target_physics_equal; target_drift_within_one_cm
7,P,Px_04_22,24,cream_cheese_1,True,
7,P,Px_04_26,24,cream_cheese_1,True,
7,P,Px_04_34,24,cream_cheese_1,True,
7,P,Px_04_44,24,cream_cheese_1,True,
7,S,Sx_04_22,4,,True,
7,S,Sx_04_26,4,,True,
7,S,Sx_04_34,4,,True,
7,S,Sx_04_44,4,,True,
7,S,Sx_09_22,9,,True,
7,S,Sx_09_26,9,,True,
7,S,Sx_09_34,9,,True,
7,S,Sx_09_44,9,,True,
7,S,Sx_14_22,14,,True,
7,S,Sx_14_26,14,,True,
7,S,Sx_14_34,14,,True,
7,S,Sx_14_44,14,,True,
7,S,Sx_19_22,19,,True,
7,S,Sx_19_26,19,,True,
7,S,Sx_19_34,19,,True,
7,S,Sx_19_44,19,,True,
7,S,Sx_24_22,24,,True,
7,S,Sx_24_26,24,,True,
7,S,Sx_24_34,24,,True,
7,S,Sx_24_44,24,,True,
7,S,Sx_29_22,29,,True,
7,S,Sx_29_26,29,,True,
7,S,Sx_29_34,29,,True,
7,S,Sx_29_44,29,,True,
7,S,Sx_34_22,34,,True,
7,S,Sx_34_26,34,,True,
7,S,Sx_34_34,34,,True,
7,S,Sx_34_44,34,,True,
7,S,Sx_39_22,39,,True,
7,S,Sx_39_26,39,,True,
7,S,Sx_39_34,39,,True,
7,S,Sx_39_44,39,,True,
