experiment,job_id,variant,initialization,n,lr,manual_seed,steps,train_loss,development_loss,blind,train_separation,development_separation,development_assignment,effect_weight,n_cases,width
fork_fits,0,original,,,0.0005,17,600,0.23250719408194223,0.29770726958910626,False,0.1019570059012166,0.09054465263865968,0.8333333333333334,,,
fork_fits,1,original,,,0.0005,17,600,0.23444284747044244,0.2995891993244489,True,0.0,0.0,0.0,,,
fork_fits,2,separate_actions,,,0.0005,17,600,0.23949816698829332,0.2983975087602933,False,0.13248572634588737,0.10916521650125094,0.9222222222222223,,,
fork_fits,3,separate_actions,,,0.0005,17,600,0.24211556712786356,0.30180011441310245,True,0.0,0.0,0.0,,,
fork_fits,4,fourier_queries,,,0.0005,17,600,0.21368658542633057,0.2830057963728905,False,0.1411354840083862,0.12859496180998375,0.9111111111111111,,,
fork_fits,5,fourier_queries,,,0.0005,17,600,0.21725166464845339,0.287955678999424,True,0.0,0.0,0.0,,,
fork_fits,6,fourier_separate,,,0.0005,17,600,0.22057760010162988,0.2903720314304034,False,0.1520463774629428,0.12765918075622246,0.9333333333333333,,,
fork_fits,7,fourier_separate,,,0.0005,17,600,0.22205047123134136,0.28820637861887616,True,0.0,0.0,0.0,,,
fork_fits,8,current_residual_separate,,,0.0005,17,600,0.09614694118499756,0.09354444531102975,False,0.13791035031811125,0.09730840756655337,0.8444444444444444,,,
fork_fits,9,current_residual_separate,,,0.0005,17,600,0.0990673719594876,0.09447694445649783,True,0.0,0.0,0.0,,,
fork_fits,10,original,,,0.0005,29,600,0.2374632383386294,0.3027834842602412,False,0.08088544490041476,0.08568657292375191,0.8111111111111111,,,
fork_fits,11,original,,,0.0005,29,600,0.23956955783069134,0.30988073845704395,True,0.0,0.0,0.0,,,
fork_fits,12,separate_actions,,,0.0005,29,600,0.24390654327968755,0.30830677102009457,False,0.16858182881877223,0.14598961708931782,0.9444444444444444,,,
fork_fits,13,separate_actions,,,0.0005,29,600,0.2447366714477539,0.30934016903241474,True,0.0,0.0,0.0,,,
fork_fits,14,fourier_queries,,,0.0005,29,600,0.21646175968150297,0.2916085422039032,False,0.07863929071660133,0.09904080972335073,0.8166666666666667,,,
fork_fits,15,fourier_queries,,,0.0005,29,600,0.2205583080649376,0.2947135368982951,True,0.0,0.0,0.0,,,
fork_fits,16,fourier_separate,,,0.0005,29,600,0.2251552181939284,0.2965376153588295,False,0.17073290850401374,0.14007746399972845,0.95,,,
fork_fits,17,fourier_separate,,,0.0005,29,600,0.2237959342698256,0.29392262796560925,True,0.0,0.0,0.0,,,
fork_fits,18,current_residual_separate,,,0.0005,29,600,0.0979931028559804,0.09546055334309737,False,0.12696690923465206,0.08482851199141214,0.8611111111111112,,,
fork_fits,19,current_residual_separate,,,0.0005,29,600,0.09845875684792797,0.09565588769813378,True,0.0,0.0,0.0,,,
fork_fits,20,original,,,0.0005,43,600,0.24134452268481255,0.3073042184114456,False,0.08302531640501044,0.07389725580718888,0.8166666666666667,,,
fork_fits,21,original,,,0.0005,43,600,0.2420220716545979,0.30914396544297534,True,0.0,0.0,0.0,,,
fork_fits,22,separate_actions,,,0.0005,43,600,0.24355297473569712,0.30669524768988293,False,0.14738844869780152,0.12150534954274606,0.9222222222222223,,,
fork_fits,23,separate_actions,,,0.0005,43,600,0.24722194982071719,0.30547409504652023,True,0.0,0.0,0.0,,,
fork_fits,24,fourier_queries,,,0.0005,43,600,0.22313251780966917,0.2911021833618482,False,0.06921453190203056,0.06658164479498363,0.6833333333333333,,,
fork_fits,25,fourier_queries,,,0.0005,43,600,0.22368056947986284,0.2968653738498688,True,0.0,0.0,0.0,,,
fork_fits,26,fourier_separate,,,0.0005,43,600,0.22575789441665015,0.30043140798807144,False,0.15614431024374872,0.13288436752038327,0.9666666666666667,,,
fork_fits,27,fourier_separate,,,0.0005,43,600,0.22759916571279368,0.29621516913175583,True,0.0,0.0,0.0,,,
fork_fits,28,current_residual_separate,,,0.0005,43,600,0.09795521075526874,0.09549892197052638,False,0.11994961661569584,0.0880385971733835,0.8444444444444444,,,
fork_fits,29,current_residual_separate,,,0.0005,43,600,0.09802745406826337,0.09622233547270298,True,0.0,0.0,0.0,,,
effect_fits,0,original,,,0.0005,17,600,0.23248220048844814,0.2976815601189931,False,0.1018912107378626,0.09052644668240567,0.8333333333333334,0.0,,
effect_fits,1,original,,,0.0005,17,600,0.2303888133416573,0.29920807232459384,False,0.2501280699616596,0.26200752363493307,0.9111111111111111,1.0,,
effect_fits,2,current_residual_separate,,,0.0005,17,600,0.09614682508011659,0.09354409637550513,False,0.13790792915158695,0.09730654738711429,0.8444444444444444,0.0,,
effect_fits,3,current_residual_separate,,,0.0005,17,600,0.09564507380127907,0.09639949103196462,False,0.28193271668363235,0.2240221715688574,0.9,1.0,,
effect_fits,4,current_residual_separate,,,0.0005,17,600,0.09906735938663284,0.09447694135208924,True,0.0,0.0,0.0,1.0,,
effect_fits,5,original,,,0.0005,29,600,0.23746201333900294,0.30278030037879944,False,0.08088703748225744,0.08568739158254822,0.8111111111111111,0.0,,
effect_fits,6,original,,,0.0005,29,600,0.23822091706097126,0.3087154949704806,False,0.21155043078275856,0.22166033762006568,0.8944444444444445,1.0,,
effect_fits,7,current_residual_separate,,,0.0005,29,600,0.09799319164206584,0.09546064026653767,False,0.1269588289914781,0.08482542540254585,0.8611111111111112,0.0,,
effect_fits,8,current_residual_separate,,,0.0005,29,600,0.09651739119241635,0.09735074825584888,False,0.26364878205965403,0.2099227820823222,0.8777777777777778,1.0,,
effect_fits,9,current_residual_separate,,,0.0005,29,600,0.09845875529572368,0.09565588956077893,True,0.0,0.0,0.0,1.0,,
effect_fits,10,original,,,0.0005,43,600,0.24148266203701496,0.30740875254074734,False,0.0832138270407296,0.07405082434923535,0.8166666666666667,0.0,,
effect_fits,11,original,,,0.0005,43,600,0.24640573002398014,0.31394096712271374,False,0.20096912709347828,0.2141132603809056,0.8833333333333333,1.0,,
effect_fits,12,current_residual_separate,,,0.0005,43,600,0.09795520439123113,0.09549891948699951,False,0.11994988306799657,0.08803883845643659,0.8444444444444444,0.0,,
effect_fits,13,current_residual_separate,,,0.0005,43,600,0.09476392281552155,0.09820367147525151,False,0.28368281903673587,0.23912778591704928,0.9388888888888889,1.0,,
effect_fits,14,current_residual_separate,,,0.0005,43,600,0.09802747362603743,0.09622232615947723,True,0.0,0.0,0.0,1.0,,
single_case_fits,0,original,,,0.0005,17,1000,0.04411585256457329,0.48395368705193204,False,0.8050448545461465,0.6731867415027606,0.5166666666666667,,1,
single_case_fits,1,fourier_separate,,,0.0005,17,1000,0.024901172146201134,0.46994828432798386,False,0.8649265333583298,0.682290421671352,0.5166666666666667,,1,
single_case_fits,2,current_residual_separate,,,0.0005,17,1000,0.01469329558312893,0.23096556340654692,False,0.9046271649892985,0.6332049023988516,0.4777777777777778,,1,
single_case_fits,3,current_residual_separate,,,0.0005,17,1000,0.07070872187614441,0.1896936185657978,True,0.0,0.0,0.0,,1,
single_case_fits,4,original,,,0.0005,29,1000,0.035738348960876465,0.48414309819539386,False,0.8288761999324018,0.6836193950477152,0.5333333333333333,,1,
single_case_fits,5,fourier_separate,,,0.0005,29,1000,0.024556521326303482,0.4692506641149521,False,0.8697495995457499,0.6837089027698416,0.5388888888888889,,1,
single_case_fits,6,current_residual_separate,,,0.0005,29,1000,0.015034465119242668,0.23889578630526861,False,0.9059847124455636,0.6325947394878897,0.4888888888888889,,1,
single_case_fits,7,current_residual_separate,,,0.0005,29,1000,0.07073204219341278,0.19173201794425646,True,0.0,0.0,0.0,,1,
single_case_fits,8,original,,,0.0005,43,1000,0.037847161293029785,0.4866894260048866,False,0.8169364296406025,0.6689294325351332,0.5111111111111111,,1,
single_case_fits,9,fourier_separate,,,0.0005,43,1000,0.024797379970550537,0.4706881071130435,False,0.8641959937225875,0.6835438517105192,0.5166666666666667,,1,
single_case_fits,10,current_residual_separate,,,0.0005,43,1000,0.014904730021953583,0.2333919256925583,False,0.9033636646576446,0.6150308050362364,0.5055555555555555,,1,
single_case_fits,11,current_residual_separate,,,0.0005,43,1000,0.0706944391131401,0.1925538827975591,True,0.0,0.0,0.0,,1,
width_fits,0,current_residual_separate,,,0.0005,17,600,0.08777617911497752,0.09415757469832897,False,0.2857745448986511,0.23749695623710276,0.9222222222222223,1.0,,256
width_fits,1,current_residual_separate,,,0.0005,17,600,0.0846586818806827,0.09456320169071357,False,0.39390573581986554,0.3196460480491121,0.9611111111111111,1.0,,512
width_fits,2,current_residual_separate,,,0.0005,29,600,0.08877624028051893,0.09637981963654359,False,0.2994565949820978,0.2581871773449725,0.9277777777777778,1.0,,256
width_fits,3,current_residual_separate,,,0.0005,29,600,0.08800772065296769,0.09755469486117363,False,0.35857926718680994,0.29051131104827477,0.9888888888888889,1.0,,512
width_fits,4,current_residual_separate,,,0.0005,43,600,0.08769148215651512,0.09551804823180039,False,0.28421092253798563,0.2388364361695036,0.9555555555555556,1.0,,256
width_fits,5,current_residual_separate,,,0.0005,43,600,0.08563535443196695,0.09775648638606071,False,0.3514020068971686,0.2816604764512223,0.9722222222222222,1.0,,512
